"Step","w1-baseline-fast - completion_len/mean","w1-baseline-fast - completion_len/mean__MIN","w1-baseline-fast - completion_len/mean__MAX","w1-alpha64-baseline - completion_len/mean","w1-alpha64-baseline - completion_len/mean__MIN","w1-alpha64-baseline - completion_len/mean__MAX","w1-alpha32-baseline - completion_len/mean","w1-alpha32-baseline - completion_len/mean__MIN","w1-alpha32-baseline - completion_len/mean__MAX","w1-alpha128-baseline - completion_len/mean","w1-alpha128-baseline - completion_len/mean__MIN","w1-alpha128-baseline - completion_len/mean__MAX","w1-alpha64-lr1e-5 - completion_len/mean","w1-alpha64-lr1e-5 - completion_len/mean__MIN","w1-alpha64-lr1e-5 - completion_len/mean__MAX","w1-alpha64-lr3e-6 - completion_len/mean","w1-alpha64-lr3e-6 - completion_len/mean__MIN","w1-alpha64-lr3e-6 - completion_len/mean__MAX","w1-alpha64-lr3e-6-b64-r16 - completion_len/mean","w1-alpha64-lr3e-6-b64-r16 - completion_len/mean__MIN","w1-alpha64-lr3e-6-b64-r16 - completion_len/mean__MAX","w1-alpha64-lr5e-6 - completion_len/mean","w1-alpha64-lr5e-6 - completion_len/mean__MIN","w1-alpha64-lr5e-6 - completion_len/mean__MAX","w1-alpha64-lr3e-6-2048-max-tokens - completion_len/mean","w1-alpha64-lr3e-6-2048-max-tokens - completion_len/mean__MIN","w1-alpha64-lr3e-6-2048-max-tokens - completion_len/mean__MAX","w1-alpha64-lr3e-6-1024-max-tokens - completion_len/mean","w1-alpha64-lr3e-6-1024-max-tokens - completion_len/mean__MIN","w1-alpha64-lr3e-6-1024-max-tokens - completion_len/mean__MAX","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - completion_len/mean","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - completion_len/mean__MIN","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - completion_len/mean__MAX","w2-alpha64-lr3e-6-2048-max-tokens-r4 - completion_len/mean","w2-alpha64-lr3e-6-2048-max-tokens-r4 - completion_len/mean__MIN","w2-alpha64-lr3e-6-2048-max-tokens-r4 - completion_len/mean__MAX"
"32","464.734375","464.734375","464.734375","352.0","352.0","352.0","381.09375","381.09375","381.09375","353.8125","353.8125","353.8125","160.75","160.75","160.75","267.71875","267.71875","267.71875","331.265625","331.265625","331.265625","272.765625","272.765625","272.765625","833.2265625","833.2265625","833.2265625","343.234375","343.234375","343.234375","902.5","902.5","902.5","953.3828125","953.3828125","953.3828125"
"33","475.640625","475.640625","475.640625","355.8359375","355.8359375","355.8359375","411.109375","411.109375","411.109375","287.2421875","287.2421875","287.2421875","186.484375","186.484375","186.484375","270.6484375","270.6484375","270.6484375","311.15625","311.15625","311.15625","281.4921875","281.4921875","281.4921875","831.9140625","831.9140625","831.9140625","390.046875","390.046875","390.046875","782.421875","782.421875","782.421875","817.5703125","817.5703125","817.5703125"
"34","456.3125","456.3125","456.3125","307.9453125","307.9453125","307.9453125","393.703125","393.703125","393.703125","323.421875","323.421875","323.421875","156.6796875","156.6796875","156.6796875","261.46875","261.46875","261.46875","307.125","307.125","307.125","293.2578125","293.2578125","293.2578125","718.7625","718.7625","718.7625","382.4609375","382.4609375","382.4609375","825.078125","825.078125","825.078125","763.35","763.35","763.35"
"35","465.8046875","465.8046875","465.8046875","368.1640625","368.1640625","368.1640625","387.0390625","387.0390625","387.0390625","334.65416666666664","334.65416666666664","334.65416666666664","157.1796875","157.1796875","157.1796875","278.5546875","278.5546875","278.5546875","293.296875","293.296875","293.296875","264.40625","264.40625","264.40625","800.5234375","800.5234375","800.5234375","362.3984375","362.3984375","362.3984375","871.6015625","871.6015625","871.6015625","723.3515625","723.3515625","723.3515625"
"36","438.3515625","438.3515625","438.3515625","391.875","391.875","391.875","412.390625","412.390625","412.390625","364.40625","364.40625","364.40625","177.4453125","177.4453125","177.4453125","278.9140625","278.9140625","278.9140625","325.796875","325.796875","325.796875","270.125","270.125","270.125","797.640625","797.640625","797.640625","359.2890625","359.2890625","359.2890625","869.7578125","869.7578125","869.7578125","809.328125","809.328125","809.328125"
"37","457.9296875","457.9296875","457.9296875","365.2890625","365.2890625","365.2890625","373.8671875","373.8671875","373.8671875","321.7578125","321.7578125","321.7578125","149.2875","149.2875","149.2875","269.3875","269.3875","269.3875","289.125","289.125","289.125","301.3203125","301.3203125","301.3203125","826.984375","826.984375","826.984375","431.7265625","431.7265625","431.7265625","830.4958333333333","830.4958333333333","830.4958333333333","737.625","737.625","737.625"
"38","471.953125","471.953125","471.953125","341.578125","341.578125","341.578125","379.1328125","379.1328125","379.1328125","306.296875","306.296875","306.296875","170.8046875","170.8046875","170.8046875","305.6640625","305.6640625","305.6640625","304.09375","304.09375","304.09375","269.5","269.5","269.5","852.890625","852.890625","852.890625","363.140625","363.140625","363.140625","862.09375","862.09375","862.09375","691.515625","691.515625","691.515625"
"39","432.0","432.0","432.0","336.4296875","336.4296875","336.4296875","385.2421875","385.2421875","385.2421875","311.2421875","311.2421875","311.2421875","165.40625","165.40625","165.40625","278.578125","278.578125","278.578125","257.328125","257.328125","257.328125","249.015625","249.015625","249.015625","971.6015625","971.6015625","971.6015625","397.296875","397.296875","397.296875","772.078125","772.078125","772.078125","663.1953125","663.1953125","663.1953125"
"40","458.25","458.25","458.25","366.640625","366.640625","366.640625","395.1328125","395.1328125","395.1328125","284.046875","284.046875","284.046875","173.1953125","173.1953125","173.1953125","264.71875","264.71875","264.71875","295.421875","295.421875","295.421875","250.0859375","250.0859375","250.0859375","833.1171875","833.1171875","833.1171875","331.234375","331.234375","331.234375","844.890625","844.890625","844.890625","697.859375","697.859375","697.859375"
"41","457.9609375","457.9609375","457.9609375","350.1953125","350.1953125","350.1953125","381.5546875","381.5546875","381.5546875","305.703125","305.703125","305.703125","160.3046875","160.3046875","160.3046875","263.9765625","263.9765625","263.9765625","358.375","358.375","358.375","263.4453125","263.4453125","263.4453125","898.5703125","898.5703125","898.5703125","362.4375","362.4375","362.4375","802.421875","802.421875","802.421875","700.4921875","700.4921875","700.4921875"
