"Step","w1-baseline-fast - metrics/format_reward","w1-baseline-fast - metrics/format_reward__MIN","w1-baseline-fast - metrics/format_reward__MAX","w1-alpha64-baseline - metrics/format_reward","w1-alpha64-baseline - metrics/format_reward__MIN","w1-alpha64-baseline - metrics/format_reward__MAX","w1-alpha32-baseline - metrics/format_reward","w1-alpha32-baseline - metrics/format_reward__MIN","w1-alpha32-baseline - metrics/format_reward__MAX","w1-alpha128-baseline - metrics/format_reward","w1-alpha128-baseline - metrics/format_reward__MIN","w1-alpha128-baseline - metrics/format_reward__MAX","w1-alpha64-lr1e-5 - metrics/format_reward","w1-alpha64-lr1e-5 - metrics/format_reward__MIN","w1-alpha64-lr1e-5 - metrics/format_reward__MAX","w1-alpha64-lr3e-6 - metrics/format_reward","w1-alpha64-lr3e-6 - metrics/format_reward__MIN","w1-alpha64-lr3e-6 - metrics/format_reward__MAX","w1-alpha64-lr3e-6-b64-r16 - metrics/format_reward","w1-alpha64-lr3e-6-b64-r16 - metrics/format_reward__MIN","w1-alpha64-lr3e-6-b64-r16 - metrics/format_reward__MAX","w1-alpha64-lr5e-6 - metrics/format_reward","w1-alpha64-lr5e-6 - metrics/format_reward__MIN","w1-alpha64-lr5e-6 - metrics/format_reward__MAX","w1-alpha64-lr3e-6-2048-max-tokens - metrics/format_reward","w1-alpha64-lr3e-6-2048-max-tokens - metrics/format_reward__MIN","w1-alpha64-lr3e-6-2048-max-tokens - metrics/format_reward__MAX","w1-alpha64-lr3e-6-1024-max-tokens - metrics/format_reward","w1-alpha64-lr3e-6-1024-max-tokens - metrics/format_reward__MIN","w1-alpha64-lr3e-6-1024-max-tokens - metrics/format_reward__MAX","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - metrics/format_reward","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - metrics/format_reward__MIN","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - metrics/format_reward__MAX","w2-alpha64-lr3e-6-2048-max-tokens-r4 - metrics/format_reward","w2-alpha64-lr3e-6-2048-max-tokens-r4 - metrics/format_reward__MIN","w2-alpha64-lr3e-6-2048-max-tokens-r4 - metrics/format_reward__MAX"
"32","0.4375","0.4375","0.4375","0.8203125","0.8203125","0.8203125","0.6796875","0.6796875","0.6796875","0.8359375","0.8359375","0.8359375","1.0","1.0","1.0","0.9453125","0.9453125","0.9453125","0.859375","0.859375","0.859375","0.953125","0.953125","0.953125","0.9765625","0.9765625","0.9765625","0.9765625","0.9765625","0.9765625","0.9453125","0.9453125","0.9453125","0.921875","0.921875","0.921875"
"33","0.3125","0.3125","0.3125","0.8203125","0.8203125","0.8203125","0.5625","0.5625","0.5625","0.96875","0.96875","0.96875","0.9609375","0.9609375","0.9609375","0.9296875","0.9296875","0.9296875","0.828125","0.828125","0.828125","0.9296875","0.9296875","0.9296875","0.9609375","0.9609375","0.9609375","0.953125","0.953125","0.953125","1.0","1.0","1.0","0.9609375","0.9609375","0.9609375"
"34","0.359375","0.359375","0.359375","0.96875","0.96875","0.96875","0.703125","0.703125","0.703125","0.84375","0.84375","0.84375","0.9921875","0.9921875","0.9921875","0.9375","0.9375","0.9375","0.921875","0.921875","0.921875","0.8828125","0.8828125","0.8828125","1.0","1.0","1.0","0.9765625","0.9765625","0.9765625","0.9921875","0.9921875","0.9921875","0.9765625","0.9765625","0.9765625"
"35","0.390625","0.390625","0.390625","0.8046875","0.8046875","0.8046875","0.6875","0.6875","0.6875","0.8359375","0.8359375","0.8359375","0.9921875","0.9921875","0.9921875","0.921875","0.921875","0.921875","0.953125","0.953125","0.953125","0.96875","0.96875","0.96875","0.984375","0.984375","0.984375","0.9765625","0.9765625","0.9765625","0.921875","0.921875","0.921875","1.0","1.0","1.0"
"36","0.5234375","0.5234375","0.5234375","0.578125","0.578125","0.578125","0.6328125","0.6328125","0.6328125","0.765625","0.765625","0.765625","0.9609375","0.9609375","0.9609375","0.9453125","0.9453125","0.9453125","0.828125","0.828125","0.828125","0.9296875","0.9296875","0.9296875","0.9609375","0.9609375","0.9609375","0.9765625","0.9765625","0.9765625","0.9296875","0.9296875","0.9296875","0.984375","0.984375","0.984375"
"37","0.4765625","0.4765625","0.4765625","0.7578125","0.7578125","0.7578125","0.7109375","0.7109375","0.7109375","0.90625","0.90625","0.90625","0.9921875","0.9921875","0.9921875","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375","0.8828125","0.8828125","0.8828125","1.0","1.0","1.0","0.921875","0.921875","0.921875","1.0","1.0","1.0","0.9765625","0.9765625","0.9765625"
"38","0.328125","0.328125","0.328125","0.8828125","0.8828125","0.8828125","0.8046875","0.8046875","0.8046875","0.9375","0.9375","0.9375","0.984375","0.984375","0.984375","0.828125","0.828125","0.828125","0.84375","0.84375","0.84375","0.9375","0.9375","0.9375","0.984375","0.984375","0.984375","0.9921875","0.9921875","0.9921875","0.953125","0.953125","0.953125","0.9765625","0.9765625","0.9765625"
"39","0.59375","0.59375","0.59375","0.875","0.875","0.875","0.6640625","0.6640625","0.6640625","0.9296875","0.9296875","0.9296875","1.0","1.0","1.0","0.9140625","0.9140625","0.9140625","1.0","1.0","1.0","0.984375","0.984375","0.984375","0.9296875","0.9296875","0.9296875","0.9375","0.9375","0.9375","0.9921875","0.9921875","0.9921875","0.9921875","0.9921875","0.9921875"
"40","0.4921875","0.4921875","0.4921875","0.7578125","0.7578125","0.7578125","0.703125","0.703125","0.703125","0.9765625","0.9765625","0.9765625","0.9765625","0.9765625","0.9765625","0.9296875","0.9296875","0.9296875","0.96875","0.96875","0.96875","0.96875","0.96875","0.96875","0.953125","0.953125","0.953125","1.0","1.0","1.0","0.953125","0.953125","0.953125","0.9765625","0.9765625","0.9765625"
"41","0.421875","0.421875","0.421875","0.828125","0.828125","0.828125","0.75","0.75","0.75","0.90625","0.90625","0.90625","1.0","1.0","1.0","0.953125","0.953125","0.953125","0.765625","0.765625","0.765625","0.9921875","0.9921875","0.9921875","0.9375","0.9375","0.9375","0.984375","0.984375","0.984375","0.96875","0.96875","0.96875","0.9609375","0.9609375","0.9609375"
