"Step","w1-baseline-fast - completion_len/max","w1-baseline-fast - completion_len/max__MIN","w1-baseline-fast - completion_len/max__MAX","w1-alpha64-baseline - completion_len/max","w1-alpha64-baseline - completion_len/max__MIN","w1-alpha64-baseline - completion_len/max__MAX","w1-alpha32-baseline - completion_len/max","w1-alpha32-baseline - completion_len/max__MIN","w1-alpha32-baseline - completion_len/max__MAX","w1-alpha128-baseline - completion_len/max","w1-alpha128-baseline - completion_len/max__MIN","w1-alpha128-baseline - completion_len/max__MAX","w1-alpha64-lr1e-5 - completion_len/max","w1-alpha64-lr1e-5 - completion_len/max__MIN","w1-alpha64-lr1e-5 - completion_len/max__MAX","w1-alpha64-lr3e-6 - completion_len/max","w1-alpha64-lr3e-6 - completion_len/max__MIN","w1-alpha64-lr3e-6 - completion_len/max__MAX","w1-alpha64-lr3e-6-b64-r16 - completion_len/max","w1-alpha64-lr3e-6-b64-r16 - completion_len/max__MIN","w1-alpha64-lr3e-6-b64-r16 - completion_len/max__MAX","w1-alpha64-lr5e-6 - completion_len/max","w1-alpha64-lr5e-6 - completion_len/max__MIN","w1-alpha64-lr5e-6 - completion_len/max__MAX","w1-alpha64-lr3e-6-2048-max-tokens - completion_len/max","w1-alpha64-lr3e-6-2048-max-tokens - completion_len/max__MIN","w1-alpha64-lr3e-6-2048-max-tokens - completion_len/max__MAX","w1-alpha64-lr3e-6-1024-max-tokens - completion_len/max","w1-alpha64-lr3e-6-1024-max-tokens - completion_len/max__MIN","w1-alpha64-lr3e-6-1024-max-tokens - completion_len/max__MAX","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - completion_len/max","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - completion_len/max__MIN","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - completion_len/max__MAX","w2-alpha64-lr3e-6-2048-max-tokens-r4 - completion_len/max","w2-alpha64-lr3e-6-2048-max-tokens-r4 - completion_len/max__MIN","w2-alpha64-lr3e-6-2048-max-tokens-r4 - completion_len/max__MAX"
"50","512.0","512.0","512.0","465.75","465.75","465.75","512.0","512.0","512.0","359.5","359.5","359.5","390.25","390.25","390.25","324.25","324.25","324.25","300.75","300.75","300.75","477.375","477.375","477.375","1869.1875","1869.1875","1869.1875","433.5","433.5","433.5","1322.375","1322.375","1322.375","1787.75","1787.75","1787.75"
"51","512.0","512.0","512.0","419.625","419.625","419.625","491.375","491.375","491.375","426.5","426.5","426.5","226.375","226.375","226.375","434.125","434.125","434.125","296.25","296.25","296.25","391.0","391.0","391.0","1234.0","1234.0","1234.0","498.875","498.875","498.875","1977.75","1977.75","1977.75","1089.0","1089.0","1089.0"
"52","512.0","512.0","512.0","485.875","485.875","485.875","482.625","482.625","482.625","469.25","469.25","469.25","161.375","161.375","161.375","363.125","363.125","363.125","472.5625","472.5625","472.5625","467.25","467.25","467.25","1486.125","1486.125","1486.125","604.375","604.375","604.375","1844.25","1844.25","1844.25","1420.5","1420.5","1420.5"
"53","505.5","505.5","505.5","468.875","468.875","468.875","512.0","512.0","512.0","353.5","353.5","353.5","142.0","142.0","142.0","385.375","385.375","385.375","278.8125","278.8125","278.8125","381.75","381.75","381.75","1480.375","1480.375","1480.375","485.375","485.375","485.375","1187.375","1187.375","1187.375","1862.5","1862.5","1862.5"
"54","512.0","512.0","512.0","407.0","407.0","407.0","486.5","486.5","486.5","440.5","440.5","440.5","109.375","109.375","109.375","356.75","356.75","356.75","337.375","337.375","337.375","512.0","512.0","512.0","1278.0","1278.0","1278.0","770.5","770.5","770.5","1708.125","1708.125","1708.125","2048.0","2048.0","2048.0"
"55","512.0","512.0","512.0","474.5","474.5","474.5","475.25","475.25","475.25","373.5","373.5","373.5","105.75","105.75","105.75","364.75","364.75","364.75","418.125","418.125","418.125","339.125","339.125","339.125","1340.875","1340.875","1340.875","536.625","536.625","536.625","1255.5","1255.5","1255.5","1107.5","1107.5","1107.5"
"56","512.0","512.0","512.0","417.25","417.25","417.25","437.25","437.25","437.25","404.25","404.25","404.25","124.25","124.25","124.25","312.375","312.375","312.375","279.0","279.0","279.0","269.75","269.75","269.75","1907.0","1907.0","1907.0","639.25","639.25","639.25","1612.25","1612.25","1612.25","1985.5","1985.5","1985.5"
"58","512.0","512.0","512.0","447.125","447.125","447.125","512.0","512.0","512.0","347.5","347.5","347.5","95.5","95.5","95.5","380.375","380.375","380.375","241.4375","241.4375","241.4375","343.125","343.125","343.125","1179.0","1179.0","1179.0","788.125","788.125","788.125","1467.625","1467.625","1467.625","1550.25","1550.25","1550.25"
"59","498.5","498.5","498.5","436.0","436.0","436.0","491.625","491.625","491.625","417.0","417.0","417.0","104.125","104.125","104.125","299.5","299.5","299.5","423.0625","423.0625","423.0625","446.875","446.875","446.875","1024.0","1024.0","1024.0","646.5","646.5","646.5","1024.5","1024.5","1024.5","1220.5","1220.5","1220.5"
"60","512.0","512.0","512.0","509.875","509.875","509.875","467.125","467.125","467.125","401.375","401.375","401.375","97.5","97.5","97.5","285.75","285.75","285.75","296.875","296.875","296.875","334.75","334.75","334.75","1232.625","1232.625","1232.625","618.5","618.5","618.5","1708.375","1708.375","1708.375","1937.5","1937.5","1937.5"
