"Step","w1-baseline-fast - completion_len/min","w1-baseline-fast - completion_len/min__MIN","w1-baseline-fast - completion_len/min__MAX","w1-alpha64-baseline - completion_len/min","w1-alpha64-baseline - completion_len/min__MIN","w1-alpha64-baseline - completion_len/min__MAX","w1-alpha32-baseline - completion_len/min","w1-alpha32-baseline - completion_len/min__MIN","w1-alpha32-baseline - completion_len/min__MAX","w1-alpha128-baseline - completion_len/min","w1-alpha128-baseline - completion_len/min__MIN","w1-alpha128-baseline - completion_len/min__MAX","w1-alpha64-lr1e-5 - completion_len/min","w1-alpha64-lr1e-5 - completion_len/min__MIN","w1-alpha64-lr1e-5 - completion_len/min__MAX","w1-alpha64-lr3e-6 - completion_len/min","w1-alpha64-lr3e-6 - completion_len/min__MIN","w1-alpha64-lr3e-6 - completion_len/min__MAX","w1-alpha64-lr3e-6-b64-r16 - completion_len/min","w1-alpha64-lr3e-6-b64-r16 - completion_len/min__MIN","w1-alpha64-lr3e-6-b64-r16 - completion_len/min__MAX","w1-alpha64-lr5e-6 - completion_len/min","w1-alpha64-lr5e-6 - completion_len/min__MIN","w1-alpha64-lr5e-6 - completion_len/min__MAX","w1-alpha64-lr3e-6-2048-max-tokens - completion_len/min","w1-alpha64-lr3e-6-2048-max-tokens - completion_len/min__MIN","w1-alpha64-lr3e-6-2048-max-tokens - completion_len/min__MAX","w1-alpha64-lr3e-6-1024-max-tokens - completion_len/min","w1-alpha64-lr3e-6-1024-max-tokens - completion_len/min__MIN","w1-alpha64-lr3e-6-1024-max-tokens - completion_len/min__MAX","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - completion_len/min","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - completion_len/min__MIN","w2-alpha64-lr3e-6-2048-max-tokens-t0.15 - completion_len/min__MAX","w2-alpha64-lr3e-6-2048-max-tokens-r4 - completion_len/min","w2-alpha64-lr3e-6-2048-max-tokens-r4 - completion_len/min__MIN","w2-alpha64-lr3e-6-2048-max-tokens-r4 - completion_len/min__MAX"
"36","359.625","359.625","359.625","262.75","262.75","262.75","308.5","308.5","308.5","242.875","242.875","242.875","120.75","120.75","120.75","218.125","218.125","218.125","250.875","250.875","250.875","202.5","202.5","202.5","590.375","590.375","590.375","239.625","239.625","239.625","520.25","520.25","520.25","463.25","463.25","463.25"
"37","364.625","364.625","364.625","277.5","277.5","277.5","259.0","259.0","259.0","255.125","255.125","255.125","117.0","117.0","117.0","198.375","198.375","198.375","229.375","229.375","229.375","169.875","169.875","169.875","552.75","552.75","552.75","272.0","272.0","272.0","467.5","467.5","467.5","409.25","409.25","409.25"
"38","369.875","369.875","369.875","269.25","269.25","269.25","301.0","301.0","301.0","249.75","249.75","249.75","109.125","109.125","109.125","206.625","206.625","206.625","232.375","232.375","232.375","187.25","187.25","187.25","484.625","484.625","484.625","231.75","231.75","231.75","615.0","615.0","615.0","382.0","382.0","382.0"
"39","331.625","331.625","331.625","255.375","255.375","255.375","260.5","260.5","260.5","197.375","197.375","197.375","124.625","124.625","124.625","215.375","215.375","215.375","232.125","232.125","232.125","178.125","178.125","178.125","585.125","585.125","585.125","263.0","263.0","263.0","570.75","570.75","570.75","356.75","356.75","356.75"
"40","395.875","395.875","395.875","265.0","265.0","265.0","292.75","292.75","292.75","217.375","217.375","217.375","128.25","128.25","128.25","186.0","186.0","186.0","269.5","269.5","269.5","168.375","168.375","168.375","509.75","509.75","509.75","270.0","270.0","270.0","516.125","516.125","516.125","353.5","353.5","353.5"
"41","343.375","343.375","343.375","256.5","256.5","256.5","286.875","286.875","286.875","241.625","241.625","241.625","122.875","122.875","122.875","188.625","188.625","188.625","298.0","298.0","298.0","208.625","208.625","208.625","492.375","492.375","492.375","249.625","249.625","249.625","485.875","485.875","485.875","307.5","307.5","307.5"
"42","422.5","422.5","422.5","249.625","249.625","249.625","276.0","276.0","276.0","214.25","214.25","214.25","108.0","108.0","108.0","187.25","187.25","187.25","216.4375","216.4375","216.4375","192.125","192.125","192.125","454.5","454.5","454.5","243.25","243.25","243.25","502.625","502.625","502.625","328.25","328.25","328.25"
"43","342.125","342.125","342.125","251.0","251.0","251.0","286.0","286.0","286.0","209.0","209.0","209.0","103.125","103.125","103.125","199.75","199.75","199.75","226.0","226.0","226.0","180.375","180.375","180.375","500.25","500.25","500.25","243.25","243.25","243.25","474.5","474.5","474.5","420.0","420.0","420.0"
"44","386.375","386.375","386.375","256.9375","256.9375","256.9375","296.75","296.75","296.75","232.0","232.0","232.0","94.25","94.25","94.25","191.25","191.25","191.25","273.75","273.75","273.75","148.5","148.5","148.5","484.5","484.5","484.5","244.375","244.375","244.375","448.375","448.375","448.375","352.75","352.75","352.75"
"45","359.375","359.375","359.375","269.125","269.125","269.125","282.375","282.375","282.375","214.375","214.375","214.375","115.25","115.25","115.25","193.75","193.75","193.75","266.9375","266.9375","266.9375","156.375","156.375","156.375","447.25","447.25","447.25","250.375","250.375","250.375","541.875","541.875","541.875","388.5","388.5","388.5"
